platform,console,region,country,serial number,box,manual,comment
Atari ST,Atari 1040STfm,PAL,SCN,A183 P4005803 K,No,No,"I have exchanged the floppy drive because the original one died. I had to cut off the plastic piece that fit around the old drive's eject button to be able to access the new drive's button. Has the number ""1"" stamped in the middle-left center part of the bottom sticker."
GB/GBC,Nintendo Game Boy Color,PAL,SCN,CH12558704,No,No,Transparent (Atomic Purple)
GB/GBC,Nintendo Game Boy Color,PAL,SCN,CH21568378,No,No,Yellow. Replaced screen protector.
GB/GBC,Nintendo Game Boy Pocket,PAL,SCN,??,No,No,Black. From my childhood. Replaced screen protector. No serial number sticker.
GB/GBC,Nintendo Game Boy Pocket,PAL,SCN,MH16905442,Yes,Yes,"""Limited Swedish Edition"" No. 1597/3000. Includes certificate."
GB/GBC,Nintendo Game Boy Pocket,PAL,SCN,MH16947233,No,No,Clear/Transparent case.
GB/GBC,Nintendo Game Boy Pocket,PAL,SCN,MH17200028,No,No,Yellow
GB/GBC,Nintendo Game Boy,PAL,??,G18622468,No,No,Gray. White backlight with bivert mod and glass screen protector.
Gakken Trojan Horse,Gakken Trojan Horse,??,??,--,Yes,Yes,Game & Watch clone
Gamecube,Nintendo Gamecube,PAL,SCN,DEH10674411,Yes,Yes,Black. Pre 2004-version with Digital Out port.
NES/FC,Nintendo Entertainment System,NTSC,USA,N17142503,No,No,Pin 4 on the lock-out chip has been cut to make it region free.
NES/FC,Nintendo Entertainment System,PAL B,SCN,PE262596,No,No,Pin 4 on the lock-out chip has been cut to make it region free. New connector. Early model with smooth surface on both the top and bottom part.
NES/FC,Nintendo Entertainment System,PAL B,SCN,PE3178816,No,No,New Connector. My childhood machine.
NES/FC,Nintendo Family Computer,NTSC,JPN,HC2773197,No,No,AV Modded. A bit yellowed.
Nintendo 3DS,Nintendo 3DS,PAL,SCN,CEH11257359[1],Yes,Yes,"""Metallic Red"". Softmodded with A9LH."
Nintendo 64,Nintendo 64,PAL,SCN,NUP13629784,No,No,Black. Expansion pak installed.
Nintendo DS,Nintendo DS,PAL,SCN,NEM10072205,Yes,Yes,"Silver, Mario Kart DS bundle"
Nintendo DS,Nintendo DS,PAL,SCN,NEM40110364,Yes,Yes,"Pink, Nintendogs Dachshund & Friends bundle. Cracked hinge."
Nintendo DS,Nintendo DSi XL,PAL,SCN,WEF10146287[5],Yes,Yes,"""Bronze"", aka brownish"
Philips-CDi,Philips CDi 450,PAL,SCN,AH039515312058,Yes,Yes,"With ""Digital Video Cartridge 22ER9956"" expansion cart that some games require. Cartridge serial no.: AH019446622200. There's an additional sticker on the bottom of the console that reads: ""CDI450/00/05 PAL 102888""."
SNES/SFC,Super Famicom,NTSC,JPN,SM10273185,No,No,Region modded with the SuperCIC chip.
SNES/SFC,Super Nintendo Entertainment System,PAL,SCN,UP12159272,No,No,
SNES/SFC,Super Nintendo Entertainment System,PAL,SCN,UP16187450,No,No,My childhood machine. Model No: SNSP-001A(SCN)
Sega Mega Drive,Sega Mega Drive,PAL,??,??,No,No,Has been region modded with the one-switch mod
Wii,Nintendo Wii,PAL,SCN,LEH19888909[8],Yes,Yes,White. Softmodded on firmware 3.2E and bootmii installed.
